央视,#genre#
CCTV1,https://mgtv.ottiptv.cc/mg/608807420.m3u8?userid=423579792&sign=bffabc053d39ea984a0189b96b87c888907356a16a09a15893200870cb50d70263f278573766d7a28cd8c668854b937249806b7ce71c38a52d99e8d19e46aa7bc51ffbfe1731fedc3e66eb8be2b4973f&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=423579792&sign=97997669c5ee077ad3067a25af097dbefbbe023d59f1ec90cec947e5c733936114cfa0c7a999454ffd811240647f835aceb0d90eead6fe004a4fcaa1d272a51289562e7016025919af68753f&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?
CCTV2,https://mgtv.ottiptv.cc/mg/631780532.m3u8?userid=423579792&sign=b9b76eba4160f7912ec0f6088b8b99fa7383ea55c3e21fd6d2fa796bb97ecc87ac2fd235cbc299011cd46e3f27d38743a8a66a25dd61564a91f8ec3f157a8371a21684d047f4deee38f4dea60268dd01&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,https://live.ottiptv.cc/mcp/cctv2.m3u8?userid=423579792&sign=9e574a729d55cbd2892c3b0d3938ada1fafd5358607a2ef3b34ad1300686ef1d316e9762828fe60805a9451b757d038be698fb7fd0b29ea4103965d434030b13679a4d57eb0ebf08b19cea0a&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?
CCTV3,https://mgtv.ottiptv.cc/mg/624878271.m3u8?userid=423579792&sign=31e7a9a86dce977b0715d5ea1ab3db3b12b2e021cf6c80b7516d23e4bb9e251becd0b2dc395b31b804a06c1532ecafd0e99358c880a91d0edc70e5eb6ac8bc33144e36990fc18645e7014bc48b95651f&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,https://live.ottiptv.cc/mcp/cctv3.m3u8?userid=423579792&sign=927d5a3b19e7a5d782195e5dd0c92eeb8e4993e4e2f61df9afc2e4d9465378827abb20c65dfb426c33d438eb717e7902eb0f93de386cbb9778927db3b3f64a5e096d580621d8ddbf88b65676&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?
CCTV4,https://mgtv.ottiptv.cc/mg/631780421.m3u8?userid=423579792&sign=22abeec4aad8cd33f5f46ddf076994bffde5ed361c41d77c8ab073e2234fe7e605fe97eec177cc6418e2fffa22ce507f1638bd8f1f4e496c05b8c09b3acc8442335f154591889232f37428462e8d4186&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4,https://live.ottiptv.cc/mcp/cctv4.m3u8?userid=423579792&sign=82bc5eb9d5b2e421bda87efc1c05d038c35c39c29a4c5752ee7d1bd4524525a5a4f94b3dfcb664c32f68d99f733906429e7a9b56aa5691501605b8e926659a3bb28e9c168b82e9a4a15044cd&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?
CCTV4欧洲,https://mgtv.ottiptv.cc/mg/608807419.m3u8?userid=423579792&sign=477f2cdb18c01c19896ec5dd81785022c2b76982a9f4b72beed4067c4b8e0a621149db27c1bed2ee0c761a60dfb5f964d8f25692271a6147b526493c0422dd9ef3aad30425c34d5a126111a2ce0755e5&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4美洲,https://mgtv.ottiptv.cc/mg/608807416.m3u8?userid=423579792&sign=c3e524ea9c8f4e48cc713dedb63fc064d33c6fd27f4913e432058fa28c9be025268046aa2982ddc33c67c4cb994ba017e7b58ba7c2099fc6edcc132b0aae8891e1b99e1dda86acafe46665f535591d8d&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV5,https://mgtv.ottiptv.cc/mg/641886683.m3u8?userid=423579792&sign=4bbe8d4fff618b1fdbd8ccff67fbd41eda325503eb867a4fbf4291b953cee5ea54578f6bc1f454b75a64b2c071d7968332384d92f732de08298fd71a209c3dc698005852af840b84b100c968bf081edf&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV5,https://live.ottiptv.cc/mcp/cctv5.m3u8?userid=423579792&sign=cdac427662c61f0c972b726b69fb362badbe47215b5f0b98eeeefe6e7fa290f594486f32626306c31472f92062a000dd58853a02f82b37257ed1b7cb4e3fae8fe047a3b45a9b019e36f460a5&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8?
CCTV5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?
CCTV5+,https://mgtv.ottiptv.cc/mg/641886773.m3u8?userid=423579792&sign=fa45f54cd56653e5b35acc621f7ae438d5f35885b5a08852d522b76d6518183bf0d305542b2cb23d10eeb2c30a8efe2fc31fd5b8fc0b4f11e07b939c20b8ab360d18c600a164b65bfe7eccdb2d71c2c4&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV6,https://mgtv.ottiptv.cc/mg/624878396.m3u8?userid=423579792&sign=bfd651474160144df7d44900380f49a51f96355d3523e109cf40b749052fc7c6676ec6e24c52437f431316fd620d6b01b37928e869326bc2a9852de23d6e3e53926102c8f0e2e215963a0b330758e81e&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV6,https://live.ottiptv.cc/mcp/cctv6.m3u8?userid=423579792&sign=4cbdc4954fd898a4cc2de06916e95e0e43049e9c1e08bc3be863915f914a37437cad6d6413526b074701683c4d39b49c0bf6a4f9edcd05ad824330bd9ea7ababc0b871a376d48655b60fca99&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV6,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8?
CCTV7,https://mgtv.ottiptv.cc/mg/673168121.m3u8?userid=423579792&sign=d6b00199312530007f244af80600033f49c5c23375bbab711d601919edaef2c1d598b1c6e52ab01e5ff58d9cc9a2cf2702bf59e0157b5356c615acad34e01f7856fb4ec54034c089f374d6ba4cab965c&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV7,https://live.ottiptv.cc/mcp/cctv7.m3u8?userid=423579792&sign=e64209354a16810d5a74c5354eb9121867f35df41d9a766e3a002569bfe4c93d6678ad0b348bd743c37fe8adf7603c66ab86ae1be53dfe59ea643b7aa7cbe7fdbcb3e025d6fd42cbd61f9083&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV7,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?
CCTV8,https://mgtv.ottiptv.cc/mg/624878356.m3u8?userid=423579792&sign=4fb4ae2696089aecd385e6fd81abab9bdc46091ed1f59b1266c1da905332a048d68380cbdc0dc702cd3444cb51a5d93fed9fa46bac53fa1b91d22900e11fe427dbe547d3f27d4ea9665e56d9ea0f4dbe&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV8,https://live.ottiptv.cc/mcp/cctv8.m3u8?userid=423579792&sign=1c217dd5b76b09110149524a893dcb1a1354fec09bd08ee05d2ad2c4bb8eb8c3717b604be8c2bcc595b5fae790d502676c4db1263a446480eaa6f0fbffab77af2de0310cf3129f7eedf08512&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV8,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8?
CCTV9,https://mgtv.ottiptv.cc/mg/673168140.m3u8?userid=423579792&sign=ca554447fd91c9702756f865ea53c32f929b59355ecd86e57cba93bddc16fb69d68c87bd7f576efbc3f476f3d5d6bca619e4ddf38ec67a87a67d612b341c4a37948e83b4b63b039814e4cd843011d187&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV9,https://live.ottiptv.cc/mcp/cctv9.m3u8?userid=423579792&sign=966dd595761508237159c26619c9a7b0c2e924ab91f9b473273540b357edf6436de116bea94dd5d684b1749753d01698438a0f506977059458c8d758ffdf5d519e02eea091a27223d11d1997&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV9,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8?
CCTV10,https://mgtv.ottiptv.cc/mg/624878405.m3u8?userid=423579792&sign=2c5b21cf46da5570107630dd129b32c3802bf8fbbf810db83de8b29d04422711cfd0ecdf0d8b19d20871fa5e538e6995617964e03a1cc10e1b120e329c3e3ae6a7f82a3d9d438f05dd32f31cf5c3aaa2&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV10,https://live.ottiptv.cc/mcp/cctv10.m3u8?userid=423579792&sign=56302317640cb10fb398de2e2d4241071d3091ac9691c2639949d57f9970c540f83414b8db29a48469713796c9be1d3f9a5430bda9584672b34c293a8a2ab844e4484bc9077c817b3e09e09b2d&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV10,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8?
CCTV11,https://mgtv.ottiptv.cc/mg/667987558.m3u8?userid=423579792&sign=c00490120fcfe78df4ad2906a5943be509af15b844a393185f09b0bea819993c3fcc6e23b2a348b974a6411d99ba0e6cd8527f538549001f95733a697d3d9456bad980602a1d30e9e3fdbdb638ae041b&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV11,https://live.ottiptv.cc/mcp/cctv11.m3u8?userid=423579792&sign=32d3c434e342ae412e4f2ba9015e65e1cd54d20bf1bb6aa87952464a3f8804c710c1364ea83cdf0861409d3d565df6d07a797c729298d0e70c587aa91d2e6ec6e0b4806bc72c7c76753c254a86&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV11,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?
CCTV12,https://mgtv.ottiptv.cc/mg/673168185.m3u8?userid=423579792&sign=09e264719331a231eff78745166698a9f63f522fd6ef2f67f25fd24a88634dd7db49b1a78560ac232e7d85901780bcb4779b3fd5d88e37704a50c273038cce03f6c577996fdba89145386cb1b52b1b86&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV12,https://live.ottiptv.cc/mcp/cctv12.m3u8?userid=423579792&sign=ea18bce74f8fbf55f337202533a017286ff92b297ebf8487df25a1fcfcb5516af7da74db363f3ea98b01bbb4cf4049b9bb07c3a4a9a4da873f93057eaaa9d548073dca0b02714b195e74ae35ad&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV12,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8?
CCTV13,https://mgtv.ottiptv.cc/mg/608807423.m3u8?userid=423579792&sign=9621b544ac10cec4e938cf39b19a4fadbc0befb88824e7193f1f6bc3c9749f62cfefac3e5563cf0265e325c81d5ca30dca023f12482bb4434c44b6d756571ec1d97d7e5b7c0017ab97792a54d450067f&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV13,https://live.ottiptv.cc/mcp/cctv13.m3u8?userid=423579792&sign=611c49d9e7466d3259515fe42804921de875326831fae75fa7d3a1dac1fda3c7b0afeeb5656900e42812163567f7e298f47e7bcfe9f98371e37124db61660a1519f3b36ca92b1bc77e182d9d3e&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV13,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8?
CCTV14,https://mgtv.ottiptv.cc/mg/624878440.m3u8?userid=423579792&sign=1bd985b19086a23f624d6aceffe6389b1ad6bf3c17852d3cb5047d645b7484fdb2eda47da5d89d2fae8ad09dda7f82f346ebf4339168782f5f382278ca61b34306c3e4720a1ac9b8402fb98c42f4bf96&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV14,https://live.ottiptv.cc/mcp/cctv14.m3u8?userid=423579792&sign=a2f525fe5a64c5a9ab8e66be2e1c7a907997b7068981d53d1ec0a734e082da80008d27272a4e9c53cf98d37f911cddd1d3770622535030b4d7860422be9942a192c044aaf21a864b10a06baa33&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV14,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8?
CCTV15,https://mgtv.ottiptv.cc/mg/673168223.m3u8?userid=423579792&sign=9d7f116239a654bd59be1fb81ed09e57cd9a8e0a6560fb3f93ad5ee58990c5fbcac6ac40481f167b49b82743fa2ac2ec93119dc95ef62c1c16075058ff1967910923f6d2b62827a6eb448e14bd9d5f36&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV15,https://live.ottiptv.cc/mcp/cctv15.m3u8?userid=423579792&sign=5eaf1ef9b627bc31e9d1eb650d6095f8cb3ae5a1c796846ade2b66cbd308e584f5d1a40c14f3d88a5a6e403499cb9ad21eb222f65fb26472f80469201f3339f5768d5a002211b64eb7fee9ca35&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV15,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8?
